date,hn_id,title,url,comments_url,points,comments,published_at,age_hours,points_per_hour,keywords,score
2026-09-08,49586667,Extracting Steering Vectors from J space,https://darshanmakwana412.github.io/2026/09/extracting-steering-vectors-from-j-space/,https://news.ycombinator.com/item?id=49586667,9,1,2026-09-06 14:03:24+00:00,49.48,0.18,extracting|space|steering|vector,10.4
2026-09-08,49601655,"Watch Los Angeles get built, one building at a time (1880–2026)",https://lax-skyline.parcelscope.net/,https://news.ycombinator.com/item?id=49601655,318,159,2026-09-07 18:52:06+00:00,20.67,15.39,angele|building|built|los|watch,474.4
2026-09-08,49602490,Emacs Bedrock 2.0,https://lambdaland.org/posts/2026-09-06-bedrock-v2/,https://news.ycombinator.com/item?id=49602490,154,37,2026-09-07 20:12:12+00:00,19.33,7.97,2.0|bedrock|emac,212.4
2026-09-08,49602699,Leaving VMware just got harder after Broadcom pulled VDDK downloads,https://www.virtualizationhowto.com/2026/09/leaving-vmware-just-got-harder-after-broadcom-pulled-vddk-downloads/,https://news.ycombinator.com/item?id=49602699,234,113,2026-09-07 20:32:55+00:00,18.99,12.32,broadcom|download|harder|leaving|pulled|vddk|vmware,352.1
2026-09-08,49604150,TALA Is Open-Source,https://d2lang.com/blog/tala-is-open-source/,https://news.ycombinator.com/item?id=49604150,271,23,2026-09-07 23:37:42+00:00,15.91,17.04,open-source|tala,367.7
2026-09-08,49604637,I've factored the RSA keys of a Certificate Authority from the 90s,https://mcpherrin.ca/2026/09/07/rsa.html,https://news.ycombinator.com/item?id=49604637,413,87,2026-09-08 01:16:59+00:00,14.25,28.98,90s|authority|certificate|factored|i've|keys|rsa,601.4
2026-09-08,49604861,Jellyfin 12.0,https://jellyfin.org/posts/jellyfin-release-12.0/,https://news.ycombinator.com/item?id=49604861,496,233,2026-09-08 01:56:35+00:00,13.59,36.49,12.0|jellyfin,795.0
2026-09-08,49604870,"There's a new ""Google Jail"" for independent wikis",https://weirdgloop.org/blog/google-jail,https://news.ycombinator.com/item?id=49604870,323,117,2026-09-08 01:57:23+00:00,13.58,23.79,google|independent|jail|wikis,500.4
2026-09-08,49605246,How well do agents use test/verification techniques?,https://danluu.com/agentic-testing/,https://news.ycombinator.com/item?id=49605246,132,52,2026-09-08 02:58:16+00:00,12.56,10.51,agent|technique|verification,210.6
2026-09-08,49605511,Arm Mali G2-Ultra NX GPU: desktop-class mobile gameplay with AI-native graphics,https://newsroom.arm.com/blog/arm-mali-g2-ultra-nx-ai-native-mobile-graphics,https://news.ycombinator.com/item?id=49605511,67,51,2026-09-08 04:06:20+00:00,11.43,5.86,ai-native|arm|desktop-class|g2-ultra|gameplay|gpu|graphic|mali|mobile,121.8
2026-09-08,49605644,"The VMs Powering Mobile Agents (Instinct, Claude Code)",https://rohanadwankar.github.io/posts/platforms.html,https://news.ycombinator.com/item?id=49605644,57,14,2026-09-08 04:36:26+00:00,10.93,5.22,agent|claude|code|instinct|mobile|powering|vms,90.1
2026-09-08,49605767,Mistral raises €3B,https://mistral.ai/news/mistral-makes-sovereign-open-weight-ai-to-frontier/,https://news.ycombinator.com/item?id=49605767,641,460,2026-09-08 05:06:23+00:00,10.43,61.46,3b|mistral|raise,1178.3
2026-09-08,49605822,Multi-Agents LLM Financial Trading Framework,https://github.com/TauricResearch/TradingAgents,https://news.ycombinator.com/item?id=49605822,91,60,2026-09-08 05:20:23+00:00,10.2,8.92,financial|framework|llm|multi-agent|trading,165.6
2026-09-08,49607443,"Among European Companies That Use a CDN, Nearly 9 in 10 Use Cloudflare",https://ciphercue.com/blog/european-cdn-concentration-cloudflare-nine-in-ten,https://news.ycombinator.com/item?id=49607443,288,235,2026-09-08 08:42:56+00:00,6.82,42.23,among|cdn|cloudflare|european|nearly,616.6
2026-09-08,49607991,Antiquated HTML Snippets and Artefacts,https://vale.rocks/posts/html-relics,https://news.ycombinator.com/item?id=49607991,129,45,2026-09-08 09:43:14+00:00,5.82,22.18,antiquated|artefact|html|snippet,262.4
2026-09-08,49608023,Why getting your hands dirty is good for you,https://www.bbc.com/future/article/20260904-how-getting-your-hands-dirty-boosts-your-health-within-weeks,https://news.ycombinator.com/item?id=49608023,119,90,2026-09-08 09:48:24+00:00,5.73,20.77,dirty|hand,267.8
2026-09-08,49608697,PISA 2025 Students' reading and mathematics performance declined across the OECD,https://www.oecd.org/en/about/news/press-releases/2026/09/pisa-2025-students-reading-and-mathematics-performance-declined-sharply-across-the-oecd.html,https://news.ycombinator.com/item?id=49608697,77,63,2026-09-08 11:13:03+00:00,4.32,17.83,declined|mathematic|oecd|performance|pisa|reading|student,197.6
2026-09-08,49610059,Show HN: Copperhead – Hardware as Fast as Software,https://copperhead.sh/,https://news.ycombinator.com/item?id=49610059,29,6,2026-09-08 13:26:45+00:00,2.09,13.88,copperhead|fast|hardware|software,101.4
2026-09-08,49610181,DaVinci Resolve 21.1,https://www.blackmagicdesign.com/media/release/20260908-03,https://news.ycombinator.com/item?id=49610181,28,1,2026-09-08 13:36:53+00:00,1.92,14.57,21.1|davinci|resolve,101.4
2026-09-08,49610538,LibreOffice breaks download records after declaring it has no AI features,https://manualdousuario.net/en/libreoffice-download-record-no-ai/,https://news.ycombinator.com/item?id=49610538,3,0,2026-09-08 14:05:57+00:00,1.44,2.09,ai|declaring|download|feature|libreoffice,13.4
