repo,tag,title,published_at,kind,is_prerelease,notes_length,url,release_date
ggml-org/llama.cpp,b10864,b10864,2026-09-08 14:33:11+00:00,other,True,1665,https://github.com/ggml-org/llama.cpp/releases/tag/b10864,2026-09-08
langchain-ai/langchain,langchain-openai==1.6.1,langchain-openai==1.6.1,2026-09-08 14:20:42+00:00,patch,False,705,https://github.com/langchain-ai/langchain/releases/tag/langchain-openai%3D%3D1.6.1,2026-09-08
ggml-org/llama.cpp,b10863,b10863,2026-09-08 14:01:19+00:00,other,True,1764,https://github.com/ggml-org/llama.cpp/releases/tag/b10863,2026-09-08
ggml-org/llama.cpp,b10859,b10859,2026-09-08 12:36:49+00:00,other,True,1834,https://github.com/ggml-org/llama.cpp/releases/tag/b10859,2026-09-08
ggml-org/llama.cpp,b10858,b10858,2026-09-08 12:08:00+00:00,other,True,9606,https://github.com/ggml-org/llama.cpp/releases/tag/b10858,2026-09-08
ggml-org/llama.cpp,b10857,b10857,2026-09-08 11:38:13+00:00,other,True,1640,https://github.com/ggml-org/llama.cpp/releases/tag/b10857,2026-09-08
ggml-org/llama.cpp,b10856,b10856,2026-09-08 10:50:51+00:00,other,True,2313,https://github.com/ggml-org/llama.cpp/releases/tag/b10856,2026-09-08
ggml-org/llama.cpp,b10855,b10855,2026-09-08 10:06:03+00:00,other,True,1215,https://github.com/ggml-org/llama.cpp/releases/tag/b10855,2026-09-08
vllm-project/vllm,v0.29.0rc6,v0.29.0rc6,2026-09-08 08:34:20+00:00,minor,True,72,https://github.com/vllm-project/vllm/releases/tag/v0.29.0rc6,2026-09-08
vllm-project/vllm,v0.29.0rc5,v0.29.0rc5,2026-09-08 08:20:33+00:00,minor,True,70,https://github.com/vllm-project/vllm/releases/tag/v0.29.0rc5,2026-09-08
streamlit/streamlit,1.63.1.dev20260907,1.63.1.dev20260907,2026-09-08 04:36:54+00:00,patch,True,36,https://github.com/streamlit/streamlit/releases/tag/1.63.1.dev20260907,2026-09-08
ggml-org/llama.cpp,b10853,b10853,2026-09-08 04:00:33+00:00,other,True,1135,https://github.com/ggml-org/llama.cpp/releases/tag/b10853,2026-09-08
ggml-org/llama.cpp,b10852,b10852,2026-09-08 00:42:25+00:00,other,True,1191,https://github.com/ggml-org/llama.cpp/releases/tag/b10852,2026-09-08
ggml-org/llama.cpp,b10850,b10850,2026-09-07 20:05:53+00:00,other,True,1611,https://github.com/ggml-org/llama.cpp/releases/tag/b10850,2026-09-07
streamlit/streamlit,1.63.1.dev20260906,1.63.1.dev20260906,2026-09-07 04:39:25+00:00,patch,True,36,https://github.com/streamlit/streamlit/releases/tag/1.63.1.dev20260906,2026-09-07
streamlit/streamlit,1.63.1.dev20260905,1.63.1.dev20260905,2026-09-06 04:36:13+00:00,patch,True,36,https://github.com/streamlit/streamlit/releases/tag/1.63.1.dev20260905,2026-09-06
ollama/ollama,v0.34.0-rc1,v0.34.0,2026-09-05 23:59:41+00:00,minor,True,473,https://github.com/ollama/ollama/releases/tag/v0.34.0-rc1,2026-09-05
streamlit/streamlit,1.63.1.dev20260904,1.63.1.dev20260904,2026-09-05 04:35:49+00:00,patch,True,36,https://github.com/streamlit/streamlit/releases/tag/1.63.1.dev20260904,2026-09-05
vllm-project/vllm,v0.29.0rc4,v0.29.0rc4: [Bugfix] Avoid sync in TRT-LLM ragged prefill,2026-09-04 22:58:29+00:00,minor,True,79,https://github.com/vllm-project/vllm/releases/tag/v0.29.0rc4,2026-09-04
langchain-ai/langchain,langchain-core==1.6.2,langchain-core==1.6.2,2026-09-04 21:29:44+00:00,patch,False,405,https://github.com/langchain-ai/langchain/releases/tag/langchain-core%3D%3D1.6.2,2026-09-04
ollama/ollama,v0.34.0-rc0,v0.34.0-rc0,2026-09-04 21:04:48+00:00,minor,True,45,https://github.com/ollama/ollama/releases/tag/v0.34.0-rc0,2026-09-04
streamlit/streamlit,1.63.1.dev20260903,1.63.1.dev20260903,2026-09-04 04:37:23+00:00,patch,True,36,https://github.com/streamlit/streamlit/releases/tag/1.63.1.dev20260903,2026-09-04
vllm-project/vllm,v0.29.0rc3,v0.29.0rc3,2026-09-04 00:52:54+00:00,minor,True,70,https://github.com/vllm-project/vllm/releases/tag/v0.29.0rc3,2026-09-04
ollama/ollama,v0.33.3,v0.33.3,2026-09-03 17:24:07+00:00,patch,False,302,https://github.com/ollama/ollama/releases/tag/v0.33.3,2026-09-03
langchain-ai/langchain,langchain==1.4.0,langchain==1.4.0,2026-09-03 16:59:55+00:00,minor,False,389,https://github.com/langchain-ai/langchain/releases/tag/langchain%3D%3D1.4.0,2026-09-03
langchain-ai/langchain,langchain-anthropic==1.7.1,langchain-anthropic==1.7.1,2026-09-03 15:42:02+00:00,patch,False,205,https://github.com/langchain-ai/langchain/releases/tag/langchain-anthropic%3D%3D1.7.1,2026-09-03
microsoft/vscode,1.136.1,1.136.1,2026-09-03 15:25:32+00:00,patch,False,44,https://github.com/microsoft/vscode/releases/tag/1.136.1,2026-09-03
vllm-project/vllm,v0.29.0rc2,v0.29.0rc2,2026-09-03 09:41:12+00:00,minor,True,70,https://github.com/vllm-project/vllm/releases/tag/v0.29.0rc2,2026-09-03
